"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"11","NUF2",1.30284865370949,6.20755859607081,10.417737591862,1.53509553607139e-06,0.000219644566850121,5.82711810865489,"UP",FALSE,"High","Master Protein","Q9BZD4","Kinetochore protein Nuf2 [OS=Homo sapiens]",0,4.066,2,1,1,1,1,464,54.3,8.27,2.58,1,"cell cycle OR cell proliferation;cell organization and biogenesis;signal transduction;other biological processes","cytosol;nucleus;other cell component","cytoskeletal activity;other molecular function","Pf03800","83540","hsa:83540; Q8WU69; Q96HJ4; Q96Q78; Q9BZD4","ENSG00000143228","Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",NA,6,0,163.9,148.5,158,23,21,31.1,74.3,95.6,87.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S247(100)]",0,"ENSG00000143228"
"12","RHBDF1",0.944505824892103,6.61765127276924,10.3583103017844,1.6150335797803e-06,0.000219644566850121,5.77650045991506,"UP",FALSE,"High","Master Protein","Q96CC6","Inactive rhomboid protein 1 [OS=Homo sapiens]",0,6.07,2,3,3,5,3,855,97.3,8.44,12.46,3,"cell cycle OR cell proliferation;transport;other biological processes","other membranes;ER/Golgi","other molecular function","Pf01694, Pf12595","64285","hsa:64285; Q04842; Q1W6H2; Q4TT59; Q96CC6; Q96S34; Q9H6E1","ENSG00000007384",NA,NA,0,0,73.1,77.8,70.1,81.8,63.1,91.5,150.1,147.4,163.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S76(100); S390(100)]",0,"ENSG00000007384"
"13","DYNC1I2",0.727841957663792,6.65249886126778,10.1304709415031,1.96658515788719e-06,0.00024688207520553,5.57971527551286,"UP",FALSE,"High","Master Protein","Q13409-2","Isoform 2B of Cytoplasmic dynein 1 intermediate chain 2 [OS=Homo sapiens]",0,138.364,8,2,9,86,2,632,70.6,5.24,266.86,2,NA,NA,NA,NA,NA,"Q13409-2",NA,NA,NA,0,0,78.4,76.1,86.3,84.4,79.9,91.2,134.4,138.2,153.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S81(99.4); S95(99.3)]",0,"ENSG00000077380"
"14","PPP3CB",1.44216956611534,6.5153411820583,9.66733434202417,2.96955877463445e-06,0.000346165708585958,5.16593648744172,"UP",FALSE,"High","Master Protein","P16298","Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform [OS=Homo sapiens]",0,2.98,2,1,1,1,1,524,59,5.91,3.02,1,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","other molecular function","Pf00149","5532","hsa:5532; P16298; P16299; Q5F2F9; Q8N1F0; Q8N3W4","ENSG00000107758","FCERI mediated Ca+2 mobilization; Ca2+ pathway; CLEC7A (Dectin-1) induces NFAT activation; Calcineurin activates NFAT; DARPP-32 events; ROBO receptors bind AKAP5","Physiological and pathological hypertrophy of the heart; Energy metabolism; MicroRNAs in cardiomyocyte hypertrophy; Alzheimer's disease and miRNA effects; Amyotrophic lateral sclerosis (ALS); Initiation of transcription and translation elongation at the HIV-1 LTR; MAPK signaling pathway; Wnt signaling; Alzheimer's disease; Calcium mediated T-cell apoptosis involved in inclusion body myositis",16,0,58.6,66.3,74,53,73.6,59.1,167.6,166.8,214.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S478(100)]",0,"ENSG00000107758"
"15","NDRG2",-0.78625272938371,6.61115989530946,-9.50011255546877,3.45998539076987e-06,0.000376446410515762,5.01182088453489,"DOWN",FALSE,"High","Master Protein","Q9UN36","Protein NDRG2 [OS=Homo sapiens]",0,168.096,13,5,19,95,5,371,40.8,5.21,376.28,5,"cell-cell signaling;cell cycle OR cell proliferation;signal transduction;other biological processes","cytosol;ER/Golgi;nucleus;other cell component",NA,"Pf03096","57447","B3KUE3; B4DE86; B7WP11; B7WPD5; D3DS07; D3DS10; hsa:57447; Q567T1; Q68DW2; Q86U08; Q86U46; Q96FD3; Q96FT0; Q96JU0; Q96PN0; Q9BQH5; Q9ULH2; Q9UN36","ENSG00000165795",NA,NA,0,0,82.6,88.3,88.9,125.2,162.4,127.8,78.4,83.1,89.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S332(100); S338(100); S350(99.6); S352(98.5)]",0,"ENSG00000165795"
"16","FSCN1",0.701821003993111,6.59711760205612,9.04145672316622,5.32366580948082e-06,0.000533131793832802,4.57561559825057,"UP",FALSE,"High","Master Protein","Q16658","Fascin [OS=Homo sapiens]",0,13.023,4,3,3,3,3,493,54.5,7.24,6.15,3,"cell organization and biogenesis;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function","Pf06268","6624","A6NI89; B2RE97; hsa:6624; Q16658; Q96IC5; Q96IH1; Q9BRF1","ENSG00000075618","Interleukin-4 and Interleukin-13 signaling","VEGFA-VEGFR2 signaling; Urotensin-II-mediated signaling pathway",3,0,115.8,102.5,106.5,71.6,58.5,72.1,109.8,113.5,128.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S39(100)]",0,"ENSG00000075618"
"17","RNFT2",0.749237379243282,6.62204385942006,8.92787381737482,5.93942303257438e-06,0.000533131793832802,4.46443087154991,"UP",FALSE,"High","Master Protein","Q96EX2","E3 ubiquitin-protein ligase RNFT2 [OS=Homo sapiens]",0,15.2,5,1,1,2,1,444,48.9,7.84,9.18,1,"other biological processes","other membranes","other molecular function","Pf13639","84900","E9PAM7; hsa:84900; Q96EX2; Q96SU5","ENSG00000135119",NA,NA,0,0,68,64.8,72.2,96.5,73.6,94.9,133.4,163.9,160.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S39(99.4)]",0,"ENSG00000135119"
"18","GAB1",-0.920809488366646,6.59151200039026,-8.91377954403419,6.0211098329111e-06,0.000533131793832802,4.45054427203839,"DOWN",FALSE,"High","Master Protein","Q13480-2","Isoform 2 of GRB2-associated-binding protein 1 [OS=Homo sapiens]",0,198.627,27,13,17,32,13,724,80,6.38,112.45,13,NA,NA,NA,NA,NA,"Q13480-2",NA,NA,NA,0,0,78.7,79.6,83.9,138.3,177.1,127.3,79.1,91,75.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S253(100); S266(100); S274(100); S383(99.4); S402(100); S454(100); T503(99.4); S531(100); S547(100); S713(100)]",0,"ENSG00000109458"
"19","TRA2A",-0.796671760973086,6.40324924270511,-8.88250261894664,6.20680397231816e-06,0.000533131793832802,4.41965677835099,"DOWN",FALSE,"High","Master Protein","Q13595","Transformer-2 protein homolog alpha [OS=Homo sapiens]",0,21.595,13,6,8,27,6,282,32.7,11.27,60.44,6,"RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus;other cell component",NA,"Pf00076","29896","B4DQI6; B4DUA9; E9PD75; hsa:29896; Q13595","ENSG00000164548",NA,"Orexin receptor pathway",1,0,149.7,130.9,128.1,93.4,69.8,96.5,58.7,62.6,61.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S20(99.6); T88(100); S260(99.7); S262(100); S278(100)]",0,"ENSG00000164548"
"20","DDB2",0.90387540146152,6.60196538776446,8.7296654088896,7.20891841306916e-06,0.000588247742506444,4.26729330513419,"UP",FALSE,"High","Master Protein","Q92466","DNA damage-binding protein 2 [OS=Homo sapiens]",0,19.569,3,1,2,4,1,427,47.8,9.47,14.67,1,"protein metabolism;DNA metabolism;other metabolic processes;stress response;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00400","1643","B2R875; hsa:1643; Q76E54; Q76E55; Q76E56; Q76E57; Q92466","ENSG00000134574","TP53 Regulates Transcription of DNA Repair Genes; Ub-specific processing proteases; Neddylation; Formation of Incision Complex in GG-NER; DNA Damage Recognition in GG-NER; Dual Incision in GG-NER","miRNA regulation of DNA damage response; miRNA regulation of p53 pathway in prostate cancer; Endometrial cancer; Chromosomal and microsatellite instability in colorectal cancer ; Non-small cell lung cancer; Breast cancer pathway; Pancreatic adenocarcinoma pathway; Small cell lung cancer; Hepatitis B infection; Melanoma; Nucleotide excision repair; DNA repair pathways, full network; p53 transcriptional gene network; Nucleotide excision repair in xeroderma pigmentosum ; DNA damage response",21,0,75.7,74.9,67.9,85.8,70.7,79.1,160.5,133.4,156,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S26(99.7)]",0,"ENSG00000134574"
"21","SDC2",-0.706169455447318,6.52559685902118,-8.60642361553469,8.14609721068472e-06,0.000633068126087498,4.14268076554494,"DOWN",FALSE,"High","Master Protein","P34741","Syndecan-2 [OS=Homo sapiens]",0,7.564,4,1,1,2,1,201,22.1,4.86,7.52,1,"cell organization and biogenesis;developmental processes;other biological processes","plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function","Pf01034","6383","B3KQA3; hsa:6383; P34741; Q6PIS6; Q9H6V1","ENSG00000169439","Cell surface interactions at the vascular wall; RSV-host interactions; Respiratory syncytial virus (RSV) attachment and entry; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; EPHB-mediated forward signaling; A tetrasaccharide linker sequence is required for GAG synthesis; HS-GAG biosynthesis; HS-GAG degradation; Defective B4GALT7 causes EDS, progeroid type; Defective B3GAT3 causes JDSSDHD; Defective EXT2 causes exostoses 2; Defective EXT1 causes exostoses 1, TRPS2 and CHDS; Defective B3GALT6 causes EDSP2 and SEMDJL1; Attachment and Entry; Retinoid metabolism and transport; Syndecan interactions","miRNA targets in ECM and membrane receptors",18,0,39.1,43.2,42.3,153.4,197.3,170.5,111.1,106.3,101.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S187(100)]",0,"ENSG00000169439"
"22","MAP2K6",1.76325843295537,6.37985471380844,8.50858737166629,8.98499068374852e-06,0.000659364593055759,4.04262286351816,"UP",FALSE,"High","Master Protein","P52564","Dual specificity mitogen-activated protein kinase kinase 6 [OS=Homo sapiens]",0,14.907,5,1,2,3,1,334,37.5,7.39,7.86,1,"other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","kinase activity;other molecular function","Pf00069","5608","hsa:5608; P52564","ENSG00000108984","PKR-mediated signaling; Interleukin-1 signaling; Oxidative Stress Induced Senescence; Myogenesis; NOD1/2 Signaling Pathway; activated TAK1 mediates p38 MAPK activation; PI5P Regulates TP53 Acetylation","MicroRNAs in cardiomyocyte hypertrophy; Integrin-mediated cell adhesion; IL-1 signaling pathway; RANKL/RANK signaling pathway; Thyroid stimulating hormone (TSH) signaling pathway; Glioblastoma signaling pathways; B cell receptor signaling pathway; TNF-alpha signaling pathway; Amyotrophic lateral sclerosis (ALS); Interleukin-1 (IL-1) structural pathway; Cardiac hypertrophic response; Photodynamic therapy-induced AP-1 survival signaling; TGF-beta signaling pathway; MAPK signaling pathway; 4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression; VEGFA-VEGFR2 signaling; Angiopoietin-like protein 8 regulatory pathway; Embryonic stem cell pluripotency pathways; p38 MAPK signaling pathway; MAPK cascade; Epithelial to mesenchymal transition in colorectal cancer; Vitamin D in inflammatory diseases; Signal transduction through IL1R; Translation inhibitors in chronically activated PDGFRA cells; Hepatitis B infection; Insulin signaling; Host-pathogen interaction of human coronaviruses - MAPK signaling; 16p11.2 proximal deletion syndrome; Angiotensin II receptor type 1 pathway; Pleural mesothelioma; GNAQ pathways in port-wine stain; Interferon type I signaling pathways; Serotonin HTR1 group and FOS pathway; Toll-like receptor signaling pathway",41,0,60,39.1,65.6,55.5,32.4,65.8,165.1,181.2,264.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S207(100)]",0,"ENSG00000108984"
"23","PTPN21",-0.740657330910838,6.61823108368945,-8.44583882454969,9.57244206112999e-06,0.000659364593055759,3.9779144758798,"DOWN",FALSE,"High","Master Protein","Q16825","Tyrosine-protein phosphatase non-receptor type 21 [OS=Homo sapiens]",0,37.252,2,2,2,3,2,1174,133.2,7.9,10.91,2,"protein metabolism;other metabolic processes","cytoskeleton;other cell component","other molecular function","Pf00102, Pf00373, Pf09379, Pf09380","11099","hsa:11099; Q16825","ENSG00000070778",NA,NA,0,0,96.2,90,88.2,123.3,124.4,139.8,81.7,81.1,87.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S590(99.5); S673(100)]",0,"ENSG00000070778"
"24","TMEM230",1.28443761295838,6.55761211349922,8.43312171012966,9.69653813317293e-06,0.000659364593055759,3.96474881025227,"UP",FALSE,"High","Master Protein","Q96A57","Transmembrane protein 230 [OS=Homo sapiens]",0,35.98,22,3,4,9,3,120,13.2,9.31,31.81,3,"transport","other membranes;ER/Golgi;other cytoplasmic organelle;other cell component",NA,"Pf05915","29058","B2RDM8; D3DVZ9; hsa:29058; Q0VGC8; Q5TDS5; Q96A57; Q96ES2; Q9P0A7","ENSG00000089063",NA,NA,0,0,73.2,77.7,73.7,53.5,75.1,61.8,173.9,136,178.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S14(99.7); S24(99.7)]",0,"ENSG00000089063"
"25","SLC35C2",1.06860894730667,6.62574470058461,8.34292349048376,1.06287852645835e-05,0.00069384710207201,3.87086867251997,"UP",FALSE,"High","Master Protein","Q9NQQ7","Solute carrier family 35 member C2 [OS=Homo sapiens]",0,14.897,4,1,1,2,1,365,40.4,8.18,7.68,1,"protein metabolism;other metabolic processes;transport;other biological processes","other membranes;ER/Golgi;nucleus","transporter activity","Pf03151","51006","B7Z6V6; E1P5T0; hsa:51006; Q53GK3; Q5JW05; Q96CJ8; Q9NQQ7; Q9Y304","ENSG00000080189",NA,NA,0,0,93.4,79.4,91.6,57.1,67.8,76.2,145.4,128.9,171.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S335(100)]",0,"ENSG00000080189"
"26","PHKB",0.715120347819452,6.6360461935612,8.27141238114876,1.14374935153871e-05,0.000717922669888916,3.79580999559191,"UP",FALSE,"High","Master Protein","Q93100","Phosphorylase b kinase regulatory subunit beta [OS=Homo sapiens]",0,22.336,3,2,2,6,2,1093,124.8,6.95,20.39,2,"other metabolic processes","plasma membrane;other membranes;cytosol;other cell component","other molecular function","Pf00723, Pf19292","5257","hsa:5257; Q8N4T5; Q93100","ENSG00000102893","Glycogen breakdown (glycogenolysis)","Glycogen synthesis and degradation",2,0,97.6,108.5,96.2,69.6,64.9,85.1,117.2,129.9,129.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S27(100); S701(98.8)]",0,"ENSG00000102893"
"27","CD276",0.710332812233631,6.64384790432523,8.22662594860681,1.19780339130413e-05,0.000720199786506586,3.74851603806467,"UP",FALSE,"High","Master Protein","Q5ZPR3","CD276 antigen [OS=Homo sapiens]",0,8.236,2,1,1,6,1,534,57.2,4.91,14.91,1,"signal transduction;other biological processes","plasma membrane;other membranes","signal transduction activity or receptor binding","Pf07686, Pf13927","80381","hsa:80381; Q5ZPR3; Q6P5Y4; Q6UXI2; Q8NBI8; Q8NC34; Q8NCB6; Q9BXR1","ENSG00000103855",NA,NA,0,0,80.7,93,88.7,82.9,77.7,80.2,134.5,122.8,145.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S525(100)]",0,"ENSG00000103855"
"28","CDK17",0.735963696509305,6.6382221717937,8.19657173501261,1.23563688861424e-05,0.000720199786506586,3.71665492250649,"UP",FALSE,"High","Master Protein","Q00537","Cyclin-dependent kinase 17 [OS=Homo sapiens]",0,8.861,3,2,2,2,1,523,59.5,9.03,5.45,2,"protein metabolism;other metabolic processes;other biological processes","nucleus;other cell component","kinase activity;other molecular function","Pf00069","5128","A8K1U6; B2RCQ2; hsa:5128; Q00537; Q8NEB8","ENSG00000059758",NA,NA,0,1,87.4,80.1,85.7,74.7,80,88.1,124.6,132.6,157.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S137(100); S146(100)]",0,"ENSG00000059758"
"29","ALKBH5",1.18443988573265,6.57972458851926,8.10912428112593,1.35333588750169e-05,0.000761601437380262,3.62337839681239,"UP",FALSE,"High","Master Protein","Q6P6C2","RNA demethylase ALKBH5 [OS=Homo sapiens]",0,15.2,5,1,1,1,1,394,44.2,9.09,5.81,1,"cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;stress response;transport;other biological processes","cytosol;ER/Golgi;nucleus","other molecular function","Pf13532","54890","B4DVJ4; D3DXC6; hsa:54890; Q6P6C2; Q9NXD6","ENSG00000091542","Reversal of alkylation damage by DNA dioxygenases","Smith-Magenis and Potocki-Lupski syndrome copy number variation",2,0,62.2,67.3,75.5,61,87.7,67.1,154.6,153.2,217.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S371(100)]",0,"ENSG00000091542"
