"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"11","SH3BP2",1.4488471272871,6.5913075817775,17.6007570656533,1.27424599073559e-08,1.86645795891954e-06,10.572822144075,"UP",FALSE,"High","Master Protein","P78314","SH3 domain-binding protein 2 [OS=Homo sapiens]",0,4.573,3,2,2,2,2,561,62.2,7.78,4.98,2,"signal transduction",NA,"other molecular function","Pf00017, Pf00169","6452","A6NNC2; B2R5R6; B4DT04; D3DVR0; D6R919; hsa:6452; O00500; O15373; P78314; P78315","ENSG00000087266",NA,"B cell receptor signaling pathway",1,0,55.4,48.5,53.4,134.4,160.4,147.4,115.8,121.8,106.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S225(100); S427(100)]",0,"ENSG00000087266"
"12","LMNB1",-1.16728891796312,6.4311052035533,-17.3279853698318,1.47396759273019e-08,1.86645795891954e-06,10.4271980359885,"DOWN",FALSE,"High","Master Protein","P20700","Lamin-B1 [OS=Homo sapiens]",0,78.278,19,8,11,11,6,586,66.4,5.16,32.3,8,"cell organization and biogenesis;transport;other biological processes","other membranes;cytoskeleton;nucleus","cytoskeletal activity;nucleic acid binding activity;other molecular function","Pf00038, Pf00932","4001","B2R6J6; hsa:4001; P20700; Q3SYN7; Q96EI6","ENSG00000113368","RHOD GTPase cycle; RHOF GTPase cycle; Meiotic synapsis; Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models; Initiation of Nuclear Envelope (NE) Reformation; Depolymerization of the Nuclear Lamina; Breakdown of the nuclear lamina; Formation of Senescence-Associated Heterochromatin Foci (SAHF)","Fas ligand pathway and stress induction of heat shock proteins; Familial partial lipodystrophy; Progeria-associated lipodystrophy; Acquired partial lipodystrophy / Barraquer-Simons syndrome",14,2,148.4,141.1,138.9,56.7,51.3,65.1,76.9,78.1,79.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S278(100); S302(100); S375(100); S393(100)]",0,"ENSG00000113368"
"13","PHIP",-1.60085047254415,6.28549399427586,-17.3119203555795,1.4867618545315e-08,1.86645795891954e-06,10.4185418065949,"DOWN",FALSE,"High","Master Protein","Q8WWQ0","PH-interacting protein [OS=Homo sapiens]",0,34.67,2,3,3,12,3,1821,206.6,8.85,12.41,3,"cell organization and biogenesis;signal transduction;other biological processes","nucleus","signal transduction activity or receptor binding;other molecular function","Pf00400, Pf00439","55023","A7J992; B2RPK4; hsa:55023; Q05CQ9; Q5VVH4; Q66I29; Q69YV1; Q8NBZ5; Q8WWQ0; Q96H52; Q96ME2; Q9H261","ENSG00000146247","RHOBTB2 GTPase cycle",NA,1,0,171.7,161.1,162.7,53.8,39.5,56.2,63.2,53.7,64.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S1783(100)]",0,"ENSG00000146247"
"14","EPB41L3",1.8353420102455,6.47654669115608,16.8140811692363,1.95081293285186e-08,2.16617508337524e-06,10.1457868724828,"UP",FALSE,"High","Master Protein","Q9Y2J2-4","Isoform 4 of Band 4.1-like protein 3 [OS=Homo sapiens]",0,210.29,13,10,14,55,9,883,98.4,5.34,203.7,10,NA,NA,NA,NA,NA,"Q9Y2J2-4",NA,NA,NA,0,0,46.7,49.7,50.5,176.9,199.1,184.7,85.7,92.6,74.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T401(100); S448(100); S478(100); T487(100); T510(100); S591(99.4); S793(100)]",0,"ENSG00000082397"
"15","SMARCA5",-1.25608874230906,6.4097807051545,-16.7772876431476,1.99096974574931e-08,2.16617508337524e-06,10.1252755588298,"DOWN",FALSE,"High","Master Protein","O60264","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [OS=Homo sapiens]",0,15.12,4,2,2,2,2,1052,121.8,8.09,6.34,2,"cell organization and biogenesis;DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00176, Pf00271, Pf09110, Pf09111","8467","hsa:8467; O60264","ENSG00000153147","Deposition of new CENPA-containing nucleosomes at the centromere; B-WICH complex positively regulates rRNA expression; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; NoRC negatively regulates rRNA expression","10q11.21q11.23 copy number variation syndrome",5,0,154.9,153.7,143,60.6,53.7,60.3,72.5,76.2,68.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S66(100); S116(100)]",0,"ENSG00000153147"
"16","SRSF5",-1.70848869936725,6.19222229015463,-16.5122255194434,2.30864712078721e-08,2.16833717005634e-06,9.97603625968254,"DOWN",FALSE,"High","Master Protein","Q13243","Serine/arginine-rich splicing factor 5 [OS=Homo sapiens]",0,9.704,4,1,1,3,1,272,31.2,11.59,7.92,1,"cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes","cytosol;nucleus",NA,"Pf00076","6430","hsa:6430; O14797; Q13243; Q16662; Q49AD6; Q6FGE0","ENSG00000100650","Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; RNA Polymerase II Transcription Termination; mRNA Splicing - Major Pathway","mRNA processing",6,0,179.1,167.6,160.8,49.1,45.7,47.5,59.1,49,53.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S233(100)]",0,"ENSG00000100650"
"17","HNRNPU",-1.16925267413137,6.40541233492189,-16.4733352655551,2.35978303317336e-08,2.16833717005634e-06,9.95391922267724,"DOWN",FALSE,"High","Master Protein","Q00839","Heterogeneous nuclear ribonucleoprotein U [OS=Homo sapiens]",0,83.946,13,9,9,13,9,825,90.5,6,38.89,9,"cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;transport;developmental processes;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;nucleic acid binding activity;other molecular function","Pf00622, Pf02037, Pf13671","3192","hsa:3192; O75507; Q00839; Q8N174; Q96HY9; Q9BQ09","ENSG00000153187","mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA","mRNA processing; lncRNA in canonical Wnt signaling and colorectal cancer",4,0,159.4,148.6,139.9,62.2,52.2,69.2,67.6,69.6,70,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S59(100); S192(99.4)]",0,"ENSG00000153187"
"18","CIR1",-1.34607638562538,6.3174743531746,-16.3167365738405,2.57868535727826e-08,2.16833717005634e-06,9.86428091475996,"DOWN",FALSE,"High","Master Protein","Q86X95","Corepressor interacting with RBPJ 1 [OS=Homo sapiens]",0,3.701,2,1,1,2,1,450,52.3,9.86,5.12,1,"RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes","cytoskeleton;nucleus;other cell component","other molecular function","Pf10197","9541","A6NFI6; A8K8M4; hsa:9541; O95367; Q12804; Q4G1B9; Q6PJI4; Q86X95; Q8IWI2","ENSG00000138433",NA,"Notch signaling pathway",1,0,172.5,155.6,147.3,56.3,58.3,61.5,62.6,58.2,58.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S394(100)]",0,"ENSG00000138433"
"19","NUP88",-1.09143473753008,6.46509724857962,-16.2614303585465,2.66126154273106e-08,2.16833717005634e-06,9.83239922198468,"DOWN",FALSE,"High","Master Protein","Q99567","Nuclear pore complex protein Nup88 [OS=Homo sapiens]",0,41.262,5,2,4,7,2,741,83.5,5.69,32.5,2,"other metabolic processes;transport","cytosol;nucleus","other molecular function","Pf10168","4927","D3DTM2; hsa:4927; Q99567; Q9BWE5","ENSG00000108559","Viral Messenger RNA Synthesis; HCMV Early Events; SUMOylation of DNA damage response and repair proteins; HCMV Late Events; ISG15 antiviral mechanism; Transport of the SLBP independent Mature mRNA; Transport of the SLBP Dependant Mature mRNA; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of Mature mRNA derived from an Intron-Containing Transcript; Rev-mediated nuclear export of HIV RNA; Transport of Ribonucleoproteins into the Host Nucleus; NS1 Mediated Effects on Host Pathways; NEP/NS2 Interacts with the Cellular Export Machinery; Regulation of Glucokinase by Glucokinase Regulatory Protein; Nuclear import of Rev protein; Vpr-mediated nuclear import of PICs; snRNP Assembly; SUMOylation of ubiquitinylation proteins; Nuclear Pore Complex (NPC) Disassembly; Regulation of HSF1-mediated heat shock response; SUMOylation of SUMOylation proteins; SUMOylation of chromatin organization proteins; SUMOylation of RNA binding proteins; SUMOylation of DNA replication proteins; Transcriptional regulation by small RNAs; Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC); tRNA processing in the nucleus; SARS-CoV-2 activates/modulates innate and adaptive immune responses","Ciliary landscape",29,0,145.5,136.1,138,65.1,51.5,62.7,82.5,81.5,84.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S35(99.4); S517(100)]",0,"ENSG00000108559"
"20","RPL11",-1.23608551629816,6.39167943400946,-16.2364599685158,2.69949440657307e-08,2.16833717005634e-06,9.81796622253724,"DOWN",FALSE,"High","Master Protein","P62913","Large ribosomal subunit protein uL5 [OS=Homo sapiens]",0,26.719,17,3,4,4,3,178,20.2,9.6,10.1,3,"cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;translational apparatus;nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function","Pf00281, Pf00673","6135","hsa:6135; P25121; P39026; P62913; Q8TDH2; Q9Y674","ENSG00000142676","L13a-mediated translational silencing of Ceruloplasmin expression; GTP hydrolysis and joining of the 60S ribosomal subunit; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","MET in type 1 papillary renal cell carcinoma; Cytoplasmic ribosomal proteins",15,0,155.1,146.6,149.7,58.2,50.3,66.8,71.5,70.8,65.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T47(100)]",0,"ENSG00000142676"
"21","RPL4",-2.07736510714028,6.0498832334411,-16.1069579222217,2.90773047732386e-08,2.16833717005634e-06,9.74272514506391,"DOWN",FALSE,"High","Master Protein","P36578","Large ribosomal subunit protein uL4 [OS=Homo sapiens]",0,19.875,7,3,3,4,3,427,47.7,11.06,7.65,3,"protein metabolism;other metabolic processes","cytosol;ER/Golgi;translational apparatus;nucleus;other cell component","other molecular function","Pf00573, Pf14374","6124","A8K502; hsa:6124; P36578; P39029; Q4VBR0; Q969Z9","ENSG00000174444","Regulation of expression of SLITs and ROBOs; L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Cytoplasmic ribosomal proteins",14,0,188.6,177.4,163,42.8,23.8,47.3,49.5,49.1,46,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S295(100)]",0,"ENSG00000174444"
"22","RPL13",-1.24043766151218,6.40583791220975,-16.0978644355266,2.92300353806615e-08,2.16833717005634e-06,9.73741719811509,"DOWN",FALSE,"High","Master Protein","P26373","Large ribosomal subunit protein eL13 [OS=Homo sapiens]",0,21.574,15,4,5,6,4,211,24.2,11.65,10.69,4,"protein metabolism;other metabolic processes;developmental processes","cytosol;ER/Golgi;translational apparatus;nucleus;other cell component","other molecular function","Pf01294","6137","B4DLX3; F5H1S2; hsa:6137; P26373; Q3KQT8; Q567Q8; Q9BPX0","ENSG00000167526","Regulation of expression of SLITs and ROBOs; L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Cytoplasmic ribosomal proteins",14,0,159.9,147.5,137.7,60.2,46.4,63.5,70.1,75,75.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S140(100)]",0,"ENSG00000167526"
"23","CSRP1",1.99762454291752,6.48518987089963,15.99879205677,3.0952477484095e-08,2.19628014148013e-06,9.6793768410906,"UP",FALSE,"High","Master Protein","P21291","Cysteine and glycine-rich protein 1 [OS=Homo sapiens]",0,45.601,19,2,2,5,2,193,20.6,8.57,19.52,2,"cell organization and biogenesis;other biological processes","cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function","Pf00412","1465","A8K268; hsa:1465; P21291; Q5U0J2","ENSG00000159176","MTF1 activates gene expression","MECP2 and associated Rett syndrome; VEGFA-VEGFR2 signaling",3,0,42.8,45.3,41.9,160.4,203.8,185.8,82.2,108.2,93.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S192(100)]",0,"ENSG00000159176"
